lid,longitude,latitude,altitude,admin1,admin2,admin3,admin4,work,shopping,school,other,college,religion,designation,home,total_visits,total_on_day_0,total_on_day_1,total_on_day_2,total_on_day_3,total_on_day_4,total_on_day_5,total_on_day_6,average_daily_total,median_daily_total,max_daily_total,max_simultaneous_visits,old_lid
0,-78.60241999999991,38.2387200000001,-1,51,3,10100,1,74,0.0,0,74,0,0,none:medical,0,7.0,3,1,1,1,1,0,0,1.0,1,3,1,339
1,-78.60241999999991,38.2387200000001,-1,51,3,10100,1,74,0.0,0,74,0,0,none:care_facilitation,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,340
2,-78.41491999999991,38.1575300000001,-1,51,3,10201,1,2490,0.0,0,2490,0,0,none:military,0,2.0,0,0,0,0,1,0,1,0.2857142857142857,0,1,2,280
3,-78.41491999999991,38.1575300000001,-1,51,3,10201,1,2490,0.0,0,2490,0,0,none:military,0,3.0,0,0,0,0,1,2,0,0.4285714285714285,0,2,1,289
4,-78.42007,38.1647,-1,51,3,10201,1,5000,0.0,0,5000,0,0,none:government,0,5.0,0,0,1,2,1,1,0,0.7142857142857143,0,2,3,334
5,-78.46011999999997,38.14156,-1,51,3,10201,2,606,0.0,0,606,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,319
6,-78.4911299999999,38.1823200000001,-1,51,3,10201,2,853,0.0,0,853,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,576
7,-78.50679000000002,38.10765,-1,51,3,10202,1,404,0.0,0,404,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,447
8,-78.49879,38.1391600000001,-1,51,3,10202,2,5000,0.0,0,5000,0,0,none:medical,0,3.0,0,0,0,0,3,0,0,0.4285714285714285,0,3,1,316
9,-78.49416,38.14433,-1,51,3,10202,2,5000,0.0,0,5000,0,0,none:medical,0,4.0,0,1,1,2,0,0,0,0.5714285714285714,0,2,3,471
10,-78.49416999999991,38.1443100000001,-1,51,3,10202,2,5000,0.0,0,5000,0,0,none:medical,0,3.0,0,1,2,0,0,0,0,0.4285714285714285,0,2,2,622
11,-78.43567,38.12533,-1,51,3,10300,1,1,1260.0,0,1,0,0,none:retail,0,2.0,1,0,0,0,1,0,0,0.2857142857142857,0,1,2,95
12,-78.4387,38.12717,-1,51,3,10300,1,425,0.0,0,425,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,378
13,-78.437,38.1265900000001,-1,51,3,10300,1,126,0.0,0,126,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,441
14,-78.43718,38.1289,-1,51,3,10300,1,2004,0.0,0,2004,0,0,none:medical,0,2.0,0,0,0,2,0,0,0,0.2857142857142857,0,2,1,449
15,-78.42026,38.1288,-1,51,3,10300,2,1,152.0,0,1,0,0,none:retail,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,177
16,-78.4197,38.1216900000001,-1,51,3,10300,2,5000,0.0,0,5000,0,0,none:government,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,465
17,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,18
18,-78.43191,38.14347,-1,51,3,10300,3,1,1012.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,29
19,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,39
20,-78.43543000000003,38.13236,-1,51,3,10300,3,1,603.0,0,1,0,0,none:retail,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,58
21,-78.44335,38.12735,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,62
22,-78.44236,38.14765,-1,51,3,10300,3,1,1929.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,81
