lid,longitude,latitude,altitude,admin1,admin2,admin3,admin4,work,shopping,school,other,college,religion,designation,home
0,-78.48313,38.03794,-1,51,540,1000,2,1,1235.0,0,1,0,0,none:retail,0
1,-77.17819,38.93204,-1,51,59,470700,1,1,1996.0,0,1,0,0,none:retail,0
2,-78.50449,38.04934,-1,51,540,700,3,1,1081.0,0,1,0,0,none:retail,0
3,-78.50269,38.05147,-1,51,540,700,3,1,1134.0,0,1,0,0,none:retail,0
4,-78.4786,38.04022,-1,51,540,1000,2,1,1526.0,0,1,0,0,none:retail,0
5,-77.27381,38.77843,-1,51,59,431001,1,1,890.0,0,1,0,0,none:retail,0
6,-78.48178,38.03089,-1,51,540,1000,1,1,417.0,0,1,0,0,none:retail,0
7,-78.48179,38.0301,-1,51,540,1000,1,1,518.0,0,1,0,0,none:retail,0
8,-78.50222,38.05154,-1,51,540,700,3,1,950.0,0,1,0,0,none:retail,0
9,-77.23434,38.91659,-1,51,59,460501,1,1,5000.0,0,1,0,0,none:retail,0
10,-78.50391,38.0502,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
11,-77.51305,38.30635,-1,51,630,500,2,1,5000.0,0,1,0,0,none:retail,0
12,-78.49039,38.06317,-1,51,540,800,4,1,410.0,0,1,0,0,none:retail,0
13,-78.47423,38.0786,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0
14,-77.12214,38.78428,-1,51,59,422301,1,1,968.0,0,1,0,0,none:retail,0
15,-78.50095999999998,38.03699,-1,51,540,202,3,1,366.0,0,1,0,0,none:retail,0
16,-78.50291999999997,38.05126,-1,51,540,700,3,1,1134.0,0,1,0,0,none:retail,0
17,-78.48749000000002,38.06368,-1,51,540,800,4,1,136.0,0,1,0,0,none:retail,0
18,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0
19,-77.51276999999997,38.29966,-1,51,630,500,2,1,3896.0,0,1,0,0,none:retail,0
