hid,pid,age,sex,employment_status,race,hispanic,designation,hh_size,hh_income,workers_in_family,lid,longitude,latitude,admin1,admin2,admin3,admin4,home_lid,total_visits,old_pid
2210247,0,9,1,0,2,1,none,3,33200,2,1002232304,-78.4977193323508,38.0362375424571,51,540,202,2,-1.0,29.0,49
2212157,1,49,1,1,1,1,none,5,113200,3,1002153466,-78.4810562687981,38.0219681338608,51,540,401,1,-1.0,48.0,71
2217896,2,29,1,1,1,1,medical,2,89000,2,1001044677,-78.5006863320792,38.02132040907789,51,540,502,1,-1.0,31.0,70
2224330,3,31,1,1,1,1,medical,2,110200,2,1002600339,-78.45866533643859,38.0427625179262,51,540,900,1,-1.0,41.0,69
2223134,4,66,2,1,2,1,care_facilitation,6,106100,3,1001783641,-78.47800550000002,38.055548,51,540,800,3,-1.0,37.0,68
2214726,5,1,1,0,2,1,none,2,32000,1,1000280659,-78.4681613057235,38.0183726423655,51,540,402,3,-1.0,44.0,67
2210182,6,21,1,1,1,1,none,2,9920,0,1000043184,-78.49716182110329,38.0379101878993,51,540,202,2,-1.0,29.0,66
2221098,7,41,1,1,1,1,none,1,106000,0,1002206279,-78.48332008313001,38.05288373468221,51,540,700,1,-1.0,33.0,65
2222366,8,41,2,1,1,1,none,1,100000,0,1000754932,-78.5130408771582,38.0393402650658,51,540,700,4,-1.0,28.0,64
2219521,9,7,1,0,6,1,none,3,80600,2,1000649159,-78.510768,38.0121905,51,540,502,5,-1.0,32.0,63
2215233,10,33,1,1,1,1,government,2,68000,0,1001414075,-78.4723485,38.0201845,51,540,402,3,-1.0,37.0,72
2225645,11,59,2,1,1,1,government,3,97004,2,1001493137,-78.4769975297761,38.04374414451871,51,540,1000,2,-1.0,26.0,62
2224654,12,69,2,6,1,1,none,2,83200,1,1001651525,-78.469131,38.04557,51,540,900,2,-1.0,35.0,60
2209223,13,8,2,0,1,1,none,2,86600,1,1000544061,-78.4961997217343,38.0413156958082,51,540,201,3,-1.0,30.0,59
2226007,14,40,1,1,1,1,government,3,123800,2,1000939037,-78.4783118718127,38.0365291379002,51,540,1000,2,-1.0,45.0,58
2218084,15,42,2,1,1,1,education,3,185000,3,1001995308,-78.5038752295822,38.02533443191329,51,540,502,2,-1.0,23.0,57
2214156,16,42,1,1,1,1,education,3,124601,2,1002337833,-78.480542,38.020058,51,540,402,2,-1.0,43.0,56
2221429,17,23,1,1,1,1,none,2,34000,0,1002258475,-78.503377,38.0433695,51,540,700,2,-1.0,22.0,55
2219276,18,17,1,1,1,1,none,4,70350,3,1000622982,-78.50851800000002,38.0169435,51,540,502,4,-1.0,39.0,54
2220539,19,22,2,1,1,1,none,2,5240,0,1000174951,-78.5121519237165,38.028038315657895,51,540,600,2,-1.0,26.0,53
2222619,20,83,1,6,1,1,none,1,276700,0,1002653311,-78.46733029355109,38.06115440986829,51,540,800,1,-1.0,40.0,52
