daynum,pid,activity_number,activity_type,start_time,end_time,duration,lid
0,0,0,1,0,15300,15300,671
0,0,2,2,15900,46500,30600,429
0,0,4,4,47460,48180,720,413
0,0,6,2,49140,57600,8460,429
0,0,8,1,58500,100800,42300,671
1,0,9,1,100800,187200,86400,671
2,0,10,1,187200,273600,86400,671
3,0,11,1,273600,360000,86400,671
4,0,12,1,360000,405900,45900,671
4,0,14,4,407100,407400,300,337
4,0,16,3,408000,412260,4260,97
4,0,18,1,413520,446400,32880,671
5,0,19,2,446400,457200,10800,429
5,0,21,1,458100,505800,47700,671
5,0,23,2,506700,532800,26100,429
6,0,24,1,532800,555300,22500,671
6,0,26,7,555600,561600,6000,90
6,0,28,3,561900,562200,300,170
6,0,30,1,562500,604800,42300,671
0,1,0,1,0,22800,22800,708
0,1,2,2,24300,55800,31500,396
0,1,4,1,57600,100800,43200,708
1,1,5,1,100800,114480,13680,708
1,1,7,2,116760,131280,14520,396
1,1,9,4,132300,135720,3420,483
1,1,11,2,136080,150180,14100,396
1,1,13,1,152340,187200,34860,708
2,1,14,1,187200,200880,13680,708
2,1,16,2,203160,217680,14520,396
2,1,18,4,218700,222120,3420,603
2,1,20,2,222480,236580,14100,396
2,1,22,1,238740,273600,34860,708
3,1,23,1,273600,287280,13680,708
3,1,25,2,289560,304080,14520,396
3,1,27,4,305100,308520,3420,365
3,1,29,2,308880,322980,14100,396
3,1,31,1,325140,360000,34860,708
4,1,32,1,360000,384600,24600,708
4,1,34,4,386100,387900,1800,337
4,1,36,3,388320,391920,3600,60
4,1,38,4,392400,393720,1320,416
4,1,40,4,394500,395040,540,630
4,1,42,4,395820,396900,1080,606
4,1,44,1,397260,446400,49140,708
5,1,45,1,446400,475200,28800,708
5,1,47,3,476100,477000,900,249
5,1,49,1,477900,532800,54900,708
6,1,50,2,532800,567000,34200,396
6,1,52,2,568800,577800,9000,396
6,1,54,1,579000,604800,25800,708
0,2,0,1,0,28800,28800,636
0,2,2,6,30600,41400,10800,260
0,2,4,1,43200,50400,7200,636
0,2,6,4,51300,57600,6300,587
0,2,8,1,58500,64800,6300,636
0,2,10,3,64980,65700,720,25
0,2,12,1,65880,100800,34920,636
1,2,13,1,100800,115200,14400,636
1,2,15,1,117300,127800,10500,636
1,2,17,6,129000,134400,5400,260
1,2,19,1,135600,137700,2100,636
1,2,21,1,140160,148500,8340,636
1,2,23,4,149400,156600,7200,385
1,2,25,1,157800,187200,29400,636
2,2,26,1,187200,201600,14400,636
2,2,28,1,203700,214200,10500,636
2,2,30,6,215400,220800,5400,260
2,2,32,1,222000,224100,2100,636
2,2,34,1,226560,234900,8340,636
2,2,36,4,235800,243000,7200,620
2,2,38,1,244200,273600,29400,636
3,2,39,1,273600,288000,14400,636
3,2,41,1,290100,300600,10500,636
3,2,43,6,301800,307200,5400,260
3,2,45,1,308400,310500,2100,636
3,2,47,1,312960,321300,8340,636
3,2,49,4,322200,329400,7200,574
3,2,51,1,330600,360000,29400,636
4,2,52,4,360000,446400,86400,620
5,2,53,1,446400,466200,19800,636
5,2,55,3,467100,473400,6300,166
5,2,57,3,474000,480120,6120,172
5,2,59,4,481680,482880,1200,455
5,2,61,1,484500,532800,48300,636
6,2,62,1,532800,563400,30600,636
6,2,64,4,564600,564900,300,513
6,2,66,4,565860,585660,19800,390
6,2,68,1,587760,604800,17040,636
0,3,0,1,0,55800,55800,677
0,3,2,5,55980,75600,19620,269
0,3,4,1,75840,100800,24960,677
1,3,5,1,100800,117900,17100,677
1,3,7,5,118800,138780,19980,269
1,3,9,1,139440,187200,47760,677
2,3,10,1,187200,204300,17100,677
2,3,12,5,205200,225180,19980,269
2,3,14,1,225840,273600,47760,677
3,3,15,1,273600,290700,17100,677
3,3,17,5,291600,311580,19980,269
3,3,19,1,312240,360000,47760,677
4,3,20,1,360000,395400,35400,677
4,3,22,4,395820,396900,1080,612
4,3,24,4,397020,397500,480,554
4,3,26,4,397920,399300,1380,481
4,3,28,1,399900,446400,46500,677
5,3,29,1,446400,464400,18000,677
5,3,31,4,475200,478800,3600,363
5,3,33,4,479100,532800,53700,334
6,3,34,1,532800,549000,16200,677
6,3,36,7,549900,557700,7800,204
6,3,38,1,558660,568500,9840,677
6,3,40,4,569220,579300,10080,371
6,3,42,1,581460,604800,23340,677
0,4,0,1,0,26400,26400,714
0,4,2,5,26700,52200,25500,268
0,4,4,1,52500,100800,48300,714
1,4,5,1,100800,114000,13200,714
1,4,7,4,114120,114480,360,491
1,4,9,5,115200,147900,32700,268
1,4,11,1,148500,187200,38700,714
2,4,12,1,187200,200400,13200,714
2,4,14,4,200520,200880,360,507
2,4,16,5,201600,234300,32700,268
2,4,18,1,234900,273600,38700,714
3,4,19,1,273600,286800,13200,714
3,4,21,4,286920,287280,360,282
3,4,23,5,288000,320700,32700,268
3,4,25,1,321300,360000,38700,714
4,4,26,1,360000,370800,10800,714
4,4,28,5,371700,398100,26400,268
4,4,30,4,398400,403200,4800,291
4,4,32,1,404400,408300,3900,714
4,4,34,4,408900,411300,2400,628
4,4,36,4,411600,421200,9600,425
4,4,38,1,422400,446400,24000,714
5,4,39,1,446400,468000,21600,714
5,4,41,3,468600,472800,4200,122
5,4,43,1,473100,477000,3900,714
5,4,45,4,477300,477900,600,609
5,4,47,4,478860,502200,23340,489
5,4,49,4,504540,505800,1260,476
5,4,51,1,506700,507600,900,714
5,4,53,1,509400,532800,23400,714
6,4,54,1,532800,555300,22500,714
6,4,56,7,555600,561600,6000,115
6,4,58,3,561900,562200,300,21
6,4,60,1,562500,604800,42300,714
0,5,0,1,0,22680,22680,683
0,5,2,2,23400,59340,35940,271
0,5,4,4,60000,62940,2940,365
0,5,6,1,64260,100800,36540,683
1,5,7,1,100800,111900,11100,683
1,5,9,2,113400,157800,44400,271
1,5,11,3,159300,160500,1200,134
1,5,13,1,161100,187200,26100,683
2,5,14,1,187200,198300,11100,683
2,5,16,2,199800,244200,44400,271
2,5,18,3,245700,246900,1200,134
2,5,20,1,247500,273600,26100,683
3,5,21,1,273600,284700,11100,683
3,5,23,2,286200,330600,44400,271
3,5,25,3,332100,333300,1200,147
3,5,27,1,333900,360000,26100,683
4,5,28,1,360000,362700,2700,683
4,5,30,4,364500,369000,4500,414
4,5,32,4,383100,384300,1200,627
4,5,34,2,396900,399600,2700,271
4,5,36,4,399900,403200,3300,610
4,5,38,2,403500,414000,10500,271
4,5,40,4,414300,417600,3300,631
4,5,42,4,417900,437400,19500,443
5,5,44,1,438600,446400,7800,683
5,5,45,1,446400,469800,23400,683
5,5,47,4,470700,471000,300,584
5,5,49,4,471600,472260,660,279
5,5,51,4,472620,473400,780,458
5,5,53,4,474900,479400,4500,618
5,5,55,4,479880,487800,7920,291
5,5,57,1,488880,497400,8520,683
5,5,59,4,498000,502800,4800,455
5,5,61,1,503400,532800,29400,683
6,5,62,1,532800,544500,11700,683
6,5,64,7,545700,574200,28500,190
6,5,66,7,576000,582900,6900,190
6,5,68,1,583800,604800,21000,683
0,6,0,1,0,56340,56340,642
